['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:28:43.80717'", 237, 508, 99, 1168, 304)
("'13:28:43.80717'", 248, 138, 0, 993, 182)
("'13:28:43.80717'", 253, 1112, 442, 1276, 703)
("'13:28:44.01718'", 112, 293, 331, 1152, 647)
("'13:28:44.01718'", 163, 368, 236, 886, 383)
("'13:28:44.01718'", 166, 29, -2, 481, 250)
("'13:28:44.01718'", 208, 179, 321, 1100, 635)
("'13:28:44.01718'", 248, 327, 5, 1199, 196)
("'13:28:44.01718'", 258, 25, 301, 329, 524)
("'13:28:44.01718'", 259, 382, 237, 772, 380)
("'13:28:44.01718'", 260, 43, 169, 173, 328)
("'13:28:44.18933'", 11, 831, 169, 1295, 361)
("'13:28:44.18933'", 112, 436, 386, 1276, 697)
("'13:28:44.18933'", 212, -17, -7, 552, 277)
("'13:28:44.18933'", 248, 341, 0, 1389, 244)
("'13:28:44.18933'", 258, 59, 337, 404, 571)
("'13:28:44.18933'", 259, 395, 244, 888, 426)
("'13:28:44.35957'", 7, 531, 281, 945, 443)
("'13:28:44.35957'", 112, 490, 418, 1302, 721)
("'13:28:44.35957'", 212, 24, 22, 694, 349)
("'13:28:44.35957'", 235, 551, -1, 1306, 272)
("'13:28:44.35957'", 258, 71, 371, 456, 597)
("'13:28:44.35957'", 266, 39, 186, 444, 424)
("'13:28:44.53161'", 57, 627, 256, 1002, 446)
("'13:28:44.53161'", 112, 593, 454, 1281, 718)
("'13:28:44.53161'", 208, 4, 407, 627, 620)
("'13:28:44.53161'", 211, 997, 233, 1279, 388)
("'13:28:44.53161'", 212, 103, 50, 788, 372)
("'13:28:44.53161'", 235, 690, 0, 1358, 273)
("'13:28:44.53161'", 240, 657, 289, 1025, 454)
("'13:28:44.53161'", 266, 29, 177, 540, 463)
("'13:28:44.53161'", 267, -74, 1, 982, 180)
("'13:28:44.70245'", 112, 698, 460, 1343, 715)
("'13:28:44.70245'", 177, -3, 413, 719, 629)
("'13:28:44.70245'", 208, 0, 405, 667, 631)
("'13:28:44.70245'", 211, 1009, 239, 1291, 405)
("'13:28:44.70245'", 212, 264, 111, 850, 374)
("'13:28:44.70245'", 232, 804, 460, 1268, 706)
("'13:28:44.70245'", 235, 826, 6, 1363, 266)
("'13:28:44.70245'", 240, 652, 295, 1015, 457)
("'13:28:44.70245'", 259, 708, 315, 1061, 445)
("'13:28:44.70245'", 266, 78, 212, 609, 487)
("'13:28:44.70245'", 267, 69, 1, 1104, 193)
("'13:28:44.87726'", 7, 580, 526, 923, 658)
("'13:28:44.87726'", 11, 732, 334, 1074, 476)
("'13:28:44.87726'", 104, 974, 446, 1287, 715)
("'13:28:44.87726'", 163, 98, 439, 783, 643)
("'13:28:44.87726'", 212, 420, 143, 980, 391)
("'13:28:44.87726'", 220, 934, 14, 1296, 256)
("'13:28:44.87726'", 243, 598, 500, 965, 640)
("'13:28:44.87726'", 266, 127, 220, 730, 496)
("'13:28:44.87726'", 267, 263, 2, 1160, 193)
("'13:28:45.04688'", 104, 1058, 513, 1264, 688)
("'13:28:45.04688'", 163, 199, 442, 875, 655)
("'13:28:45.04688'", 214, 533, 189, 1109, 411)
("'13:28:45.04688'", 237, 217, -1, 940, 182)
("'13:28:45.04688'", 243, 707, 527, 1012, 646)
("'13:28:45.04688'", 266, 239, 241, 873, 509)
("'13:28:45.22371'", 124, 755, 3, 1260, 224)
("'13:28:45.22371'", 163, 336, 473, 969, 671)
("'13:28:45.22371'", 166, 5, 145, 428, 386)
("'13:28:45.22371'", 181, 296, 0, 951, 200)
("'13:28:45.22371'", 214, 624, 203, 1248, 446)
("'13:28:45.22371'", 243, 819, 547, 1103, 657)
("'13:28:45.22371'", 266, 391, 259, 1071, 543)
("'13:28:45.22371'", 273, 457, 167, 735, 264)
("'13:28:45.22371'", 274, 30, 378, 282, 701)
